RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
tRNA_tdbR00000017-Homo_sapiens-9606-Ala-IGC  	76        	4070.63   	-29.94    	-27.50    	-29.80    	-29.60    	-25.10    	1.00      	0.98      	1.00      	0.98      	1.00      	0.96      	1.00      	0.96      	1.00      	0.98      	1.00      	0.98      
tRNA_tdbR00000019-Mycoplasma_capricolum-2095-Cys-GCA	75        	5400.81   	-28.84    	-18.60    	-23.00    	-25.70    	-23.20    	0.73      	0.73      	0.73      	0.73      	0.79      	0.77      	0.79      	0.77      	0.73      	0.73      	0.73      	0.73      
tRNA_tdbR00000020-Escherichia_coli-562-Cys-GCA	74        	2358.80   	-32.93    	-21.60    	-27.70    	-28.30    	-26.90    	0.71      	0.78      	0.71      	0.71      	0.76      	0.79      	0.76      	0.76      	0.72      	0.78      	0.72      	0.72      
tRNA_tdbR00000021-Saccharomyces_cerevisiae-4932-Cys-GCA	75        	5401.26   	-26.85    	-19.60    	-24.40    	-24.60    	-22.80    	0.74      	0.91      	0.74      	0.71      	0.76      	0.91      	0.76      	0.72      	0.74      	0.91      	0.74      	0.71      
tRNA_tdbR00000022-Enterobacteria_phage_T5-10726-Asp-GUC	77        	5404.21   	-29.49    	-23.70    	-27.60    	-27.70    	-26.60    	0.52      	0.30      	0.29      	0.30      	0.52      	0.32      	0.29      	0.32      	0.52      	0.31      	0.29      	0.31      
tRNA_tdbR00000023-Haloferax_volcanii-2246-Asp-GUC	76        	5400.97   	-36.52    	-26.50    	-32.40    	-36.80    	-31.50    	0.49      	0.52      	0.49      	0.48      	0.51      	0.52      	0.51      	0.50      	0.49      	0.52      	0.49      	0.48      
tRNA_tdbR00000024-Mycoplasma_capricolum-2095-Asp-GUC	77        	5401.95   	-32.03    	-27.60    	-30.90    	-30.20    	-26.20    	0.98      	0.98      	1.00      	1.00      	0.99      	0.96      	1.00      	1.00      	0.98      	0.98      	1.00      	1.00      
tRNA_tdbR00000025-Thermus_thermophilus-274-Asp-GUC	77        	5408.05   	-33.16    	-29.60    	-31.90    	-33.10    	-26.70    	0.50      	0.44      	0.30      	0.98      	0.53      	0.48      	0.33      	0.99      	0.50      	0.45      	0.31      	0.98      
tRNA_tdbR00000026-Escherichia_coli-562-Asp-QUC	77        	5401.13   	-31.94    	-24.70    	-27.60    	-28.10    	-24.00    	0.55      	0.68      	0.70      	0.70      	0.56      	0.70      	0.73      	0.73      	0.55      	0.68      	0.70      	0.70      
tRNA_tdbR00000027-Hordeum_vulgare-4513-Asp-GUC	77        	5400.68   	-28.58    	-25.30    	-29.60    	-28.80    	-25.60    	0.18      	0.52      	0.53      	0.37      	0.19      	0.55      	0.56      	0.38      	0.18      	0.52      	0.53      	0.37      
